repeat,fold,model,stage,search_strategy,threshold,best_inner_score,best_params,mcc,balanced_accuracy,f1,recall,specificity,precision,tn,fp,fn,tp,roc_auc,pr_auc
1,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6499443426101412,"{""feature_selector__k"": 17, ""model__C"": 24.24100506145669, ""model__l1_ratio"": 0.6811741590660506}",0.6722408026755853,0.8361204013377926,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.8260869565217391,22,4,4,19,0.8996655518394648,0.8986946467254074
1,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6482503675924537,"{""feature_selector__k"": 12, ""model__C"": 7.759226681792486, ""model__l1_ratio"": 0.5707443108235761}",0.6838936797839589,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,26,1,7,15,0.9057239057239057,0.9192746823641487
1,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6803027513754817,"{""feature_selector__k"": 20, ""model__C"": 0.03994909570574257, ""model__l1_ratio"": 0.0962372388216417}",0.7557086549031783,0.8671328671328671,0.85,0.7727272727272727,0.9615384615384616,0.9444444444444444,25,1,5,17,0.8933566433566433,0.9042925694329438
1,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6703503518795797,"{""feature_selector__k"": 8, ""model__C"": 0.39079303173089114, ""model__l1_ratio"": 0.8752108742896255}",0.5853694070049635,0.7937062937062938,0.782608695652174,0.8181818181818182,0.7692307692307693,0.75,20,6,4,18,0.8811188811188811,0.8747798336944106
1,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6971109028589678,"{""feature_selector__k"": 19, ""model__C"": 0.1174661390189361, ""model__l1_ratio"": 0.39127897810058054}",0.6693419514856722,0.8251748251748252,0.8,0.7272727272727273,0.9230769230769231,0.8888888888888888,24,2,6,16,0.8776223776223776,0.8863485763109564
2,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6540242480515027,"{""feature_selector__k"": 17, ""model__C"": 0.024172969474828075, ""model__l1_ratio"": 0.0026294431398551366}",0.8381410922535469,0.9155518394648829,0.9090909090909091,0.8695652173913043,0.9615384615384616,0.9523809523809523,25,1,3,20,0.923076923076923,0.9382152506069734
2,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6872370866439924,"{""feature_selector__k"": 16, ""model__C"": 0.8800691825891133, ""model__l1_ratio"": 0.9731873904293178}",0.5050505050505051,0.7525252525252526,0.7272727272727273,0.7272727272727273,0.7777777777777778,0.7272727272727273,21,6,6,16,0.9057239057239057,0.9001693585613022
2,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6899330316203226,"{""feature_selector__k"": 13, ""model__C"": 19.30601342197997, ""model__l1_ratio"": 0.5994528713707163}",0.5373186100548619,0.7674825174825175,0.7441860465116279,0.7272727272727273,0.8076923076923077,0.7619047619047619,21,5,6,16,0.8671328671328671,0.8590763926832264
2,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6648874225834325,"{""feature_selector__k"": 8, ""model__C"": 0.33289801794996926, ""model__l1_ratio"": 0.25244105926801874}",0.7482517482517482,0.8741258741258742,0.8636363636363636,0.8636363636363636,0.8846153846153846,0.8636363636363636,23,3,3,19,0.9615384615384616,0.9599427901642414
2,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7399980543668999,"{""feature_selector__k"": 16, ""model__C"": 0.6924621323518082, ""model__l1_ratio"": 0.541020665980648}",0.40991702578932737,0.7027972027972028,0.6666666666666666,0.6363636363636364,0.7692307692307693,0.7,20,6,8,14,0.784965034965035,0.7525774881084073
3,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7124461935084637,"{""feature_selector__k"": 8, ""model__C"": 0.4280482517659236, ""model__l1_ratio"": 0.2167001621200622}",0.507606576998627,0.7516722408026756,0.7272727272727273,0.6956521739130435,0.8076923076923077,0.7619047619047619,21,5,7,16,0.9021739130434783,0.9154066675265702
3,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6359664847155656,"{""feature_selector__k"": 13, ""model__C"": 9.178690515109414, ""model__l1_ratio"": 0.21431427720244944}",0.7530348058261029,0.8720538720538721,0.8571428571428571,0.8181818181818182,0.9259259259259259,0.9,25,2,4,18,0.8922558922558922,0.878474076649914
3,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6705668579536344,"{""feature_selector__k"": 17, ""model__C"": 1.177487542623793, ""model__l1_ratio"": 0.5610823497665645}",0.7149109021788099,0.8583916083916083,0.851063829787234,0.9090909090909091,0.8076923076923077,0.8,21,5,2,20,0.9597902097902098,0.9548502513478081
3,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6828324076579729,"{""feature_selector__k"": 15, ""model__C"": 0.15491877409475413, ""model__l1_ratio"": 0.06277335287353476}",0.6427254428713529,0.798951048951049,0.7567567567567568,0.6363636363636364,0.9615384615384616,0.9333333333333333,25,1,8,14,0.8916083916083917,0.8746161929385485
3,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6820045917207948,"{""feature_selector__k"": 9, ""model__C"": 23.372614797779626, ""model__l1_ratio"": 0.7924749393354928}",0.57953786404698,0.7867132867132867,0.7619047619047619,0.7272727272727273,0.8461538461538461,0.8,22,4,6,16,0.8461538461538461,0.8552309847866292
4,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6424301644128604,"{""feature_selector__k"": 15, ""model__C"": 0.09741684423807409, ""model__l1_ratio"": 0.45872596432795176}",0.7130912633061056,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,23,3,4,19,0.9130434782608695,0.932798564263095
4,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6576276410662211,"{""feature_selector__k"": 22, ""model__C"": 0.20153071636553913, ""model__l1_ratio"": 0.009110539537892029}",0.7525252525252525,0.8762626262626263,0.8636363636363636,0.8636363636363636,0.8888888888888888,0.8636363636363636,24,3,3,19,0.9393939393939394,0.9260641346885825
